Display_Name,country,sovereign,Status_GYR,protection_mpaguide_level,establishment_stage,designation,pa_type,area_km2,wdpa_id,wdpa_pid,Boundary_Join_Key,id,site_assessment_id,mpa_zone_id,proposed_date,designated_date,implemented_date,formally_recognized,regulations_in_force,status,affiliated_reports,source_file
Archipel des Glorieuses [Reserve Zones],ATF,FRA,Green,full,implemented,National Nature Reserve,"mpa, multiple-objective",5653.522891636719,,,,2519,151,68821287.0,,2012-02-22,2021-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Lord Howe,AUS,AUS,Green,high,actively managed,Marine Park,unknown,5136.479122050781,,None,None,2223,46,68808997.0,,2013-12-14,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Southwest Indian Seamounts,ZAF,ZAF,Green,full,implemented,Restricted Zone,"mpa, multiple-objective",4498.931236792969,,,,5646,501,68821588.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Prince Edward Islands,ZAF,ZAF,Green,full,implemented,Marine Protected Area,"mpa, primary conservation",4440.57260169043,,None,None,323,6,68808363.0,2008-01-01,,2013-06-21,yes,yes,published,Pike et al. (2024),designated_implemented
iSimangaliso,ZAF,ZAF,Green,high,actively managed,Controlled Pelagic Linefish Zone South,"mpa, multiple-objective",3667.610730003906,,,,5545,478,68821487.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Bajos del Norte,MEX,MEX,Green,full,implemented,Core Zone,"mpa, primary conservation",3444.5643118984376,,,,6052,3623,,,2024-01-08,2024-01-08,yes,yes,published,,designated_implemented
Steller Sea Lion,USA,USA,Green,full,implemented,Rookery Buffer Area,unknown,3391.12090109375,,None,None,734,3423,68817275.0,1999-01-01,1999-01-01,1999-01-01,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
St Anns Bank Zone 1,CAN,CAN,Green,high,implemented,Marine Protected Area,unknown,3310.034517179688,,,,2290,94,68808094.0,2011-01-01,2017-01-01,,yes,yes,published,CPAWS (2021),designated_implemented
Loto-i-toga,WSM,WSM,Green,full,implemented,Marine Protected Area,"mpa, primary conservation",3262.880427296875,,,,6040,3617,,2024-10-01,2025-05-01,2025-05-01,yes,yes,published,,designated_implemented
Southwest Indian Seamounts,ZAF,ZAF,Green,full,implemented,Restricted Zone,"mpa, multiple-objective",3059.010625625,,,,5647,501,68821589.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Southeast Atlantic Seamounts,ZAF,ZAF,Green,full,implemented,Restricted Zone,"mpa, multiple-objective",2835.742649890625,,,,5539,477,68821481.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Ilhas Selvagens,PRT,PRT,Green,full,actively managed,Nature Reserve,"mpa, primary conservation",2686.838103710937,,32568,32568,1093,3437,68819734.0,,1971-01-01,,yes,yes,published,,designated_implemented
Papahānaumokuākea,USA,USA,Green,high,actively managed,Marine National Monument Midway Atoll Special Management Area,"mpa, primary conservation",2397.30997721875,,None,None,605,2260,,2001-01-01,2006-06-15,2008-12-01,yes,yes,published,,designated_implemented
Aldabra Atoll,SYC,SYC,Green,full,actively managed,Special Reserve,"mpa, primary conservation",2373.550893544922,,None,None,616,72,68819548.0,,1981-01-01,1998-01-01,yes,yes,published,,designated_implemented
Midway Atoll,UMI,USA,Green,high,actively managed,National Wildlife Refuge,"mpa, primary conservation",2356.516354673828,,18007,18007,649,3,1353.0,2006-06-15,2006-06-26,2008-12-01,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
iSimangaliso,ZAF,ZAF,Green,high,actively managed,Controlled Pelagic Linefish Zone North,"mpa, multiple-objective",2300.319299660156,,,,5544,478,68821486.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Pacific Remote Islands,UMI,USA,Green,full,implemented,National Wildlife Refuge,"mpa, primary conservation",2190.469116738281,,2932,2932,2385,7,8764.0,,1926-01-01,,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Área Marina Protegida de la Reserva de Biosfera Seaflower,COL,COL,Green,full,implemented,Marine Protected Area of ​​the Seaflower Biosphere Reserve,unknown,2166.395095998047,,None,None,354,83,68808398.0,,2005-01-27,2005-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
Agulhas Bank Complex,ZAF,ZAF,Green,full,implemented,Restricted Zone,"mpa, multiple-objective",2047.3542395,,,,5497,465,68821439.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone North,"mpa, multiple-objective",2041.4380568320312,,,,5543,478,68821485.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Pacific Remote Islands,UMI,USA,Green,high,implemented,National Wildlife Refuge,"mpa, primary conservation",2038.287093330078,,None,None,693,7,8772.0,,2001-01-01,,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Papahānaumokuākea,USA,USA,Green,high,actively managed,Marine Refuge,"mpa, primary conservation",2025.32585609375,,None,None,3478,3,68819637.0,,2005-01-01,,yes,yes,published,,designated_implemented
Pacific Remote Islands,UMI,USA,Green,high,implemented,National Wildlife Refuge,"mpa, primary conservation",2016.753940919922,,None,None,695,7,8785.0,,,,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Pacific Remote Islands,UMI,USA,Green,full,implemented,National Wildlife Refuge,"mpa, primary conservation",1955.197489037109,,None,None,694,7,8765.0,,2001-01-01,,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Isla del Coco,CRI,CRI,Green,full,actively managed,National Park,"mpa, primary conservation",1942.0285587578128,,170,170,1108,96,23.0,,1978-01-01,1978-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Pacific Remote Islands,UMI,USA,Green,full,implemented,National Wildlife Refuge,"mpa, primary conservation",1744.8654251933594,,2931,2931,665,7,8819.0,,1974-06-27,2009-09-24,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Usotu’ofe,WSM,WSM,Green,full,implemented,Marine Protected Area,"mpa, primary conservation",1679.5953797890625,,,,6039,3616,,2024-10-01,2025-05-01,2025-05-01,yes,yes,published,,designated_implemented
Pacific Remote Islands,UMI,USA,Green,full,implemented,National Wildlife Refuge,"mpa, primary conservation",1677.1672968691407,,2926,2926,687,7,8815.0,,1974-06-27,2008-09-24,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Pacific Remote Islands,UMI,USA,Green,full,implemented,National Wildlife Refuge,"mpa, primary conservation",1652.020821419922,,2910,2910,664,7,8738.0,,1974-06-27,2008-09-24,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Jardines de la Reina,CUB,CUB,Green,high,actively managed,National Park,unknown,1619.0774225898438,,302609,302609,3678,133,68821351.0,,2010-01-01,,yes,yes,published,,designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Wilderness Zone,"mpa, multiple-objective",1508.2389066445312,,,,5546,478,68821488.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas,CAN,CAN,Green,full,actively managed,Marine Protected Area,"mpa, primary conservation",1502.360495421875,,None,None,2313,114,68819732.0,2010-01-01,2017-01-01,,yes,yes,published,CPAWS (2021),designated_implemented
Navassa Island,VIR,USA,Green,full,actively managed,National Wildlife Refuge,"mpa, primary conservation",1473.655920449219,,315066,315066,772,2991,4820.0,,1999-12-01,,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Gwaii Haanas - Strict Protection Zone,CAN,CAN,Green,high,actively managed,National Marine Conservation Area,unknown,1421.4634381835938,,,,2311,100,68813318.0,2002-01-01,2010-01-01,2018-01-01,yes,yes,published,CPAWS (2021),designated_implemented
Isla de Mona Natural Reserve - General Protection Zone,PRI,USA,Green,high,actively managed,Nature Reserve,unknown,1418.4889194204102,,12438,12438,274,98,8915.0,,1986-06-04,,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
Amathole Offshore,ZAF,ZAF,Green,full,implemented,Restricted Zone,"mpa, multiple-objective",1318.6128043515623,,,,5532,475,68821474.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
